"Russell.Ticker","Russell.Company","Bloomberg.Name","BB.Unique.ID","Bloomberg.Ticker","RF.UI.ID"
"A","AGILENT TECHNOLOGIES IN","AGILENT TECHNOLOGIES INC","EQ0087231700001000","A","CBqR0"
"AA","ALCOA INC","ALCOA INC","EQ0010004600001000","AA","B_ZKl"
"AAN","AARONS INC","AARON'S INC","EQ0010218800003000","AAN","C6imI"
"AAON","AAON INC","AAON INC","EQ0010179800001000","AAON","B_M9M"
"AAP","ADVANCE AUTO PARTS INC","ADVANCE AUTO PARTS INC","EQ0036823400001000","AAP","CGAIz"
"AAPL","APPLE INC","APPLE INC","EQ0010169500001000","AAPL","B_LyO"
"AAT","AMERICAN ASSETS TRST IN","AMERICAN ASSETS TRUST INC","EQ0000000011243999","AAT","fyjIN"
"AATI","ADVANCED ANALOGIC TECH",NA,NA,"","C47qn"
"AAWW","ATLAS AIR WORLDWIDE HLD","ATLAS AIR WORLDWIDE HOLDINGS","EQ0000000001229493","AAWW","CG_3u"
"ABAX","ABAXIS INC","ABAXIS INC","EQ0010180300001000","ABAX","CYytD"
"ABBC","ABINGTON BANCORP INC",NA,NA,"","EIHvh"
"ABC","AMERISOURCEBERGEN CORP","AMERISOURCEBERGEN CORP","EQ0015696900002000","ABC","I5OBxF"
"ABCB","AMERIS BANCORP","AMERIS BANCORP","EQ0014804900001000","ABCB","CcUfB"
"ABCD","CAMBIUM LEARNING GRP IN","CAMBIUM LEARNING GROUP INC","EQ0000000009428004","ABCD","CiH6e"
"ABCO","ADVISORY BOARD CO","ADVISORY BOARD CO/THE","EQ0090123500001000","ABCO","Hkro4"
"ABD","ACCO BRANDS CORP","ACCO BRANDS CORP","EQ0000000001910217","ACCO","CaVqQ"
"ABFS","ARKANSAS BEST CORP","ARKANSAS BEST CORP","EQ0010181300001000","ABFS","B_YiT"
"ABG","ASBURY AUTOMOTIVE GROUP","ASBURY AUTOMOTIVE GROUP","EQ0090377900001000","ABG","CKcH-"
"ABM","ABM INDUSTRIES INC","ABM INDUSTRIES INC","EQ0010005600001000","ABM","I2SfJL"
"ABMD","ABIOMED INC","ABIOMED INC","EQ0010182100001000","ABMD","CAkSF"
"ABT","ABBOTT LABORATORIES","ABBOTT LABORATORIES","EQ0010000200001000","ABT","B_E1t"
"ABVT","ABOVENET INC","ABOVENET INC","EQ0000000000743011","","B_Ezt"
"ACAS","AMERICAN CAPITAL LTD","AMERICAN CAPITAL LTD","EQ0023374900001000","ACAS","I2YVZ2"
"ACAT","ARCTIC CAT INC","ARCTIC CAT INC","EQ0010183100001000","ACAT","CrkPF"
"ACC","AMERICAN CAMPUS COMMUN","AMERICAN CAMPUS COMMUNITIES","EQ0000000001090612","ACC","B_nyd"
"ACCL","ACCELRYS INC","ACCELRYS INC","EQ0017137000001000","ACCL","CGV4Y"
"ACE","ACE LTD","ACE LTD","EQ0011695600001000","ACE","B_Kvu"
"ACET","ACETO CORP","ACETO CORP","EQ0010184000001000","ACET","DY6BH"
"ACGL","ARCH CAP GROUP LTD","ARCH CAPITAL GROUP LTD","EQ0017087800001000","ACGL","CiICa"
"ACHN","ACHILLION PHARM","ACHILLION PHARMACEUTICALS","EQ0000000002431211","ACHN","EVZLI"
"ACI","ARCH COAL INC","ARCH COAL INC","EQ0022581500001000","ACI","CAR2Z"
"ACIW","ACI WORLDWIDE INC","ACI WORLDWIDE INC","EQ0015974300002000","ACIW","DOLa7"
"ACLS","AXCELIS TECHNOLOGIES IN","AXCELIS TECHNOLOGIES INC","EQ0035453700001000","ACLS","ChfSn"
"ACM","AECOM TECHNOLOGY CORP D","AECOM TECHNOLOGY CORP","EQ0000000001316664","ACM","CAfGE"
"ACN","ACCENTURE PLC IRELAND","ACCENTURE PLC-CL A","EQ0030078700001000","ACN","CAQ4v"
"ACO","AMCOL INTERNATIONAL COR","AMCOL INTERNATIONAL CORP","EQ0010185100001000","ACO","jZAne"
"ACOM","ANCESTRY.COM INC","ANCESTRY.COM INC","EQ0000000008791352","ACOM","Dbs_i"
"ACOR","ACORDA THERAPEUTICS INC","ACORDA THERAPEUTICS INC","EQ0000000000400534","ACOR","CNAT7"
"ACPW","ACTIVE POWER INC","ACTIVE POWER INC","EQ0023363900001000","ACPW","CAGaB"
"ACTG","ACACIA RESEARCH CORP","ACACIA RESEARCH CORP","EQ0000000000432735","ACTG","Dn9wU"
"ACTV","ACTIVE NETWORK INC","ACTIVE NETWORK INC/THE","EQ0000000001082756","ACTV","I3Apq3"
"ACUR","ACURA PHARMACEUTICALS","ACURA PHARMACEUTICALS INC","EQ0010434800001000","ACUR","CAoeE"
"ACW","ACCURIDE CORP NEW","ACCURIDE CORP","EQ0000000009817802","ACW","CWdd6"
"ACXM","ACXIOM CORP","ACXIOM CORP","EQ0010186500001000","ACXM","CCt7_"
"ADBE","ADOBE SYSTEMS INC","ADOBE SYSTEMS INC","EQ0010168900001000","ADBE","B_FBk"
"ADC","AGREE REALTY CORP","AGREE REALTY CORP","EQ0013692400001000","ADC","CE40u"
"ADI","ANALOG DEVICES INC","ANALOG DEVICES INC","EQ0010009700001000","ADI","CAHOT"
"ADM","ARCHER DANIELS MIDLAND","ARCHER-DANIELS-MIDLAND CO","EQ0010010900001000","ADM","B_vrO"
"ADP","AUTOMATIC DATA PROCESS","AUTOMATIC DATA PROCESSING","EQ0010013700001000","ADP","CDV7c"
"ADPI","AMERICAN DENTAL PARTNER","AMERICAN DENTAL PARTNERS INC","EQ0030293500001000","","I5WPug"
"ADS","ALLIANCE DATA SYSTEMS","ALLIANCE DATA SYSTEMS CORP","EQ0090199800001000","ADS","CdSgQ"
"ADSK","AUTODESK INC","AUTODESK INC","EQ0010169700001000","ADSK","B_qS0"
"ADTN","ADTRAN INC","ADTRAN INC","EQ0015447300001000","ADTN","CZubB"
"ADVS","ADVENT SOFTWARE INC","ADVENT SOFTWARE INC","EQ0017136400001000","ADVS","Dtb8o"
"AEA","ADVANCE AMERICA CASH AD","ADVANCE AMERICA CASH ADVANCE","EQ0000000001271659","AEA*","jOctg"
"AEC","ASSOCIATED ESTATES RLTY","ASSOCIATED ESTATES REALTY CP","EQ0012593300001000","AEC","0_Si"
"AEE","AMEREN CORP","AMEREN CORPORATION","EQ0031309800001000","AEE","I2N8FN"
"AEGR","AEGERION PHARM INC","AEGERION PHARMACEUTICALS INC","EQ0000000003371390","AEGR","I2gvlZ"
"AEIS","ADVANCED ENERGY INDS IN","ADVANCED ENERGY INDUSTRIES","EQ0017125200001000","AEIS","CYjMC"
"AEL","AMERICAN EQUITY INVST","AMERICAN EQUITY INVT LIFE HL","EQ0081855800001000","AEL","CNwG8"
"AEO","AMERICAN EAGLE OUTFITTE","AMERICAN EAGLE OUTFITTERS","EQ0013616000001000","AEO","B_4Ej"
"AEP","AMERICAN ELECTRIC POWER","AMERICAN ELECTRIC POWER","EQ0010006000001000","AEP","B_JXC"
"AEPI","AEP INDUSTRIES INC","AEP INDUSTRIES INC","EQ0010190700001000","AEPI","I2aL1E"
"AES","AES CORP","AES CORP","EQ0010169000001000","AES","CBMBy"
"AET","AETNA INC","AETNA INC","EQ0034006800001000","AET","B_UgJ"
"AF","ASTORIA FINANCIAL CORP","ASTORIA FINANCIAL CORP","EQ0012977400001000","AF","Cn029"
"AFAM","ALMOST FAMILY INC","ALMOST FAMILY INC","EQ0010321600001000","AFAM","CxxmB"
"AFCE","AFC ENTERPRISES INC","AFC ENTERPRISES","EQ0017181100001000","AFCE","B_LIj"
"AFFX","AFFYMETRIX INC","AFFYMETRIX INC","EQ0017178000001000","AFFX","CYiyp"
"AFFY","AFFYMAX INC","AFFYMAX INC","EQ0739414400001000","AFFY","DkbpN"
"AFG","AMERICAN FINANCIAL GROU","AMERICAN FINANCIAL GROUP INC","EQ0010115200001000","AFG","CEzev"
"AFL","AFLAC INC","AFLAC INC","EQ0010001500001000","AFL","CBFPz"
"AFP","UNITED CAPITAL CORP","UNITED CAPITAL CORP","EQ0010458500001000","UCAP","ZvnqB"
"AFSI","AMTRUST FINL SVCS","AMTRUST FINANCIAL SERVICES","EQ0000000002971796","AFSI","D06ez"
"AGCO","AGCO CORP","AGCO CORP","EQ0010193000001000","AGCO","CBTxm"
"AGII","ARGO GROUP INTL","ARGO GROUP LTD","EQ0000000021906208","ARGGF","Cf6tT"
"AGL","AGL RESOURCES INC","AGL RESOURCES INC","EQ0010012700001000","GAS","B_KkY"
"AGM","FEDERAL AGRIC MTG CO","FEDERAL AGRIC MTG CORP-CL C","EQ0010374700004000","AGM","CcUct"
"AGN","ALLERGAN INC","ALLERGAN INC","EQ0010003800001000","AGN","B_OFZ"
"AGNC","AMERICAN CAPITAL AGENCY","AMERICAN CAPITAL AGENCY CORP","EQ0000000005701070","AGNC","EfZRu8"
"AGO","ASSURED GUARANTY LTD","ASSURED GUARANTY LTD","EQ0038646700001000","AGO","EIG7_"
"AGP","AMERIGROUP CORP","AMERIGROUP CORP","EQ0081443200001000","AGP","I2Vuw5"
"AGX","ARGAN INC","ARGAN INC","EQ0010634300001000","AGX","CTSu1"
"AGYS","AGILYSYS INC","AGILYSYS INC","EQ0010611900001000","AGYS","CYLeN"
"AH","ACCRETIVE HEALTH INC","ACCRETIVE HEALTH INC","EQ0000000009094436","AH","I2dhxm"
"AHC","A H BELO CORP","AH BELO CORP-A","EQ0000000004589459","AHC","CZK4k"
"AHL","ASPEN INSURANCE HOLDING","ASPEN INSURANCE HOLDINGS LTD","EQ0000000000839648","AHL","CIbPp"
"AHS","AMN HEALTHCARE SERVICES","AMN HEALTHCARE SERVICES INC","EQ0175163500001000","AHS","D2Vhu"
"AHT","ASHFORD HOSPITALITY","ASHFORD HOSPITALITY TRUST","EQ0000000000599810","AHT","CrHem"
"AI","ARLINGTON ASSET INVT","ARLINGTON ASSET INVESTMENT-A","EQ0030287800001000","AI","Ca1h9"
"AIG","AMERICAN INTL GROUP","AMERICAN INTERNATIONAL GROUP","EQ0010006700001000","AIG","B_OLZ"
"AIMC","ALTRA HOLDINGS INC","ALTRA HOLDINGS INC","EQ0000000002837515","AIMC","CGa0H"
"AIN","ALBANY INTERNATIONAL","ALBANY INTL CORP-CL A","EQ0010002500002000","AIN","Ca4Wn"
"AINV","APOLLO INVESTMENT CORP","APOLLO INVESTMENT CORP","EQ0000000001017331","AINV","CuGbH"
"AIQ","ALLIANCE HEALTHCARE SVC","ALLIANCE HEALTHCARE SERVICE","EQ0736345300001000","AIQ","E4ZNg"
"AIR","AAR CORP","AAR CORP","EQ0010000100001000","AIR","CFHxC"
"AIRM","AIR METHODS CORP","AIR METHODS CORP","EQ0010217100001000","AIRM","CXi9Q"
"AIS","ANTARES PHARMA INC","ANTARES PHARMA INC","EQ0019612700001000","ATRS","I2dhjs"
"AIT","APPLIED INDUSTRIAL TECH","APPLIED INDUSTRIAL TECH INC","EQ0010018100001000","AIT","CB7-m"
"AIV","APARTMENT INVT & MGMT","APARTMENT INVT & MGMT CO -A","EQ0015433900001000","AIV","CLhFt"
"AIZ","ASSURANT INC","ASSURANT INC","EQ0000000000807123","AIZ","CHtjR"
"AJG","GALLAGHER ARTHUR J & CO","ARTHUR J GALLAGHER & CO","EQ0010062100001000","AJG","CN3gR"
"AKAM","AKAMAI TECHNOLOGIES","AKAMAI TECHNOLOGIES INC","EQ0039337400001000","AKAM","B_rGc"
"AKR","ACADIA REALTY TRUST","ACADIA REALTY TRUST","EQ0011712300001000","AKR","B_7K4"
"AKRX","AKORN INC","AKORN INC","EQ0010198200001000","AKRX","I2VW6E"
"AKS","AK STEEL HOLDING CORP","AK STEEL HOLDING CORP","EQ0013674900001000","AKS","3q5yC"
"AL","AIR LEASE CORP","AIR LEASE CORP","EQ0000000010515702","AL","L2f-M"
"ALB","ALBEMARLE CORP","ALBEMARLE CORP","EQ0013224200001000","ALB","I41KYj"
"ALC","ASSISTED LIVING CONCPT","ASSISTED LIVING CONCEPTS I-A","EQ0000000002586201","ALC","CLjJm"
"ALCO","ALICO INC","ALICO INC","EQ0010199000001000","ALCO","CCdtO"
"ALE","ALLETE INC","ALLETE INC","EQ0010100000001000","ALE","B_KSQ"
"ALEX","ALEXANDER & BALDWIN INC","ALEXANDER & BALDWIN INC","EQ0010169100001000","ALEX","B_eLe"
"ALG","ALAMO GROUP INC","ALAMO GROUP INC","EQ0011703300001000","ALG","DYrns"
"ALGN","ALIGN TECHNOLOGY INC","ALIGN TECHNOLOGY INC","EQ0174518500001000","ALGN","I2Wao4"
"ALGT","ALLEGIANT TRAVEL CO","ALLEGIANT TRAVEL CO","EQ0000000002527590","ALGT","B_bj0"
"ALIM","ALIMERA SCIENCES INC","ALIMERA SCIENCES INC","EQ0000000003102225","ALIM","a1hMj"
"ALJ","ALON USA ENERGY INC","ALON USA ENERGY INC","EQ0000000001752133","ALJ","CCohO"
"ALK","ALASKA AIR GROUP INC","ALASKA AIR GROUP INC","EQ0010002400001000","ALK","CAaKu"
"ALKS","ALKERMES INC","ALKERMES PLC","EQ0010200600001000","ALKS","CZv1s"
"ALL","ALLSTATE CORP","ALLSTATE CORP","EQ0011846400001000","ALL","CDo9t"
"ALNC","ALLIANCE FINANCIAL CORP","ALLIANCE FINANCIAL GROUP BHD","EQ0015636000001000","AFG","tjXPo"
"ALNY","ALNYLAM PHARMACEUTICALS","ALNYLAM PHARMACEUTICALS INC","EQ0000000000661066","ALNY","CAG_A"
"ALOG","ANALOGIC CORP","ANALOGIC CORP","EQ0010201500001000","ALOG","CGa0h"
"ALR","ALERE INC","ALERE INC","EQ0175225300001000","ALR","reQE"
"ALSK","ALASKA COMMUNICATIONS","ALASKA COMM SYSTEMS GROUP","EQ0033077800001000","ALSK","EzNRu"
"ALTE","ALTERRA CAPITAL HOLDING","ALTERRA CAPITAL HOLDINGS LTD","EQ0175008500001000","ALTE","HAIf7"
"ALTH","ALLOS THERAPEUTICS INC","ALLOS THERAPEUTICS INC","EQ0117663000001000","ALTH","DSKrj"
"ALTR","ALTERA CORP","ALTERA CORP","EQ0010202600001000","ALTR","B_HuY"
"ALV","AUTOLIV INC","AUTOLIV INC","EQ0022533600001000","ALIV","Cc59k"
"ALX","ALEXANDERS INC","ALEXANDER'S INC","EQ0010003300001000","ALX","32myI"
"ALXN","ALEXION PHARMACEUTICALS","ALEXION PHARMACEUTICALS INC","EQ0017148100001000","ALXN","CAMOK"
"AM","AMERICAN GREETINGS","AMERICAN GREETINGS CORP-CL A","EQ0010169200002000","AM","_TlpM"
"AMAG","AMAG PHARMACEUTICALS IN","AMAG PHARMACEUTICALS INC","EQ0010230000001000","AMAG","CLxOG"
"AMAT","APPLIED MATLS INC","APPLIED MATERIALS INC","EQ0010203200001000","AMAT","B_OIL"
"AMCC","APPLIED MICRO CIRCUITS","APPLIED MICRO CIRCUITS CORP","EQ0030275500001000","AMCC","CmXsf"
"AMD","ADVANCED MICRO DEVICES","ADVANCED MICRO DEVICES","EQ0010001000001000","AMD","B_JoI"
"AME","AMETEK INC","AMETEK INC","EQ0023065000001000","AME","B_L4w"
"AMED","AMEDISYS INC","AMEDISYS INC","EQ0015453800001000","AMED","I59Yvk"
"AMG","AFFILIATED MANAGERS GRP","AFFILIATED MANAGERS GROUP","EQ0021730600001000","AMG","CFka2"
"AMGN","AMGEN INC","AMGEN INC","EQ0010169300001000","AMGN","B_LhY"
"AMKR","AMKOR TECHNOLOGY INC","AMKOR TECHNOLOGY INC","EQ0030268000001000","AMKR","CGF-A"
"AMLN","AMYLIN PHARMACEUTICALS","AMYLIN PHARMACEUTICALS INC","EQ0010206100001000","AMLN","CBOPU"
"AMN","AMERON INTERNATIONAL IN",NA,NA,"","DUF8l"
"AMP","AMERIPRISE FINANCIAL IN","AMERIPRISE FINANCIAL INC","EQ0000000001799045","AMP","B_ddM"
"AMPE","AMPIO PHARMACEUTICALS","AMPIO PHARMACEUTICALS INC","EQ0000000005896290","AMPE","EGGBwS"
"AMR","AMR CORP","AMR CORP","EQ0010009000001000","AAMRQ","CBENY"
"AMRC","AMERESCO INC","AMERESCO INC-CL A","EQ0000000000133745","AMRC","I2fWDl"
"AMRI","ALBANY MOLECULAR RESRCH","ALBANY MOLECULAR RESEARCH","EQ0034452600001000","AMRI","Ct5PH"
"AMRS","AMYRIS INC","AMYRIS INC","EQ0000000006311560","AMRS","C26mv"
"AMSC","AMERICAN SUPERCONDUCTOR","AMERICAN SUPERCONDUCTOR CORP","EQ0010207600001000","AMSC","CAKaS"
"AMSF","AMERISAFE INC","AMERISAFE INC","EQ0000000001912074","AMSF","CACEL"
"AMSG","AMSURG CORP","AMSURG CORP","EQ0031305300002000","AMSG","I2WlpM"
"AMSWA","AMERICAN SOFTWARE INC","AMERICAN SOFTWARE INC-CL A","EQ0010208100002000","AMSWA","CaB9D"
"AMT","AMERICAN TOWER CORP","AMERICAN TOWER CORP","EQ0021087000002000","AMT","CbwST"
"AMTD","TD AMERITRADE HOLDING","TD AMERITRADE HOLDING CORP","EQ0020251400001000","AMTD","B_sOS"
"AMWD","AMERICAN WOODMARK CORP","AMERICAN WOODMARK CORP","EQ0010209000001000","AMWD","GT8bh"
"AMZN","AMAZON COM INC","AMAZON.COM INC","EQ0021695200001000","AMZN","B_IxU"
"AN","AUTONATION INC","AUTONATION INC","EQ0010663300001000","AN","B_HhJ"
"ANAC","ANACOR PHARM INC","ANACOR PHARMACEUTICALS INC","EQ0000000004495931","ANAC","C3moR"
"ANAD","ANADIGICS INC","ANADIGICS INC","EQ0017001600001000","ANAD","CGoHu"
"ANAT","AMERICAN NATIONAL INS C","AMERICAN NATIONAL INSURANCE","EQ0010209400001000","ANAT","C3KAq"
"ANDE","ANDERSONS INC","ANDERSONS INC/THE","EQ0015916700001000","ANDE","B_KFL"
"ANEN","ANAREN INC","ANAREN INC","EQ0010210100001000","ANEN","C8yYD"
"ANF","ABERCROMBIE & FITCH","ABERCROMBIE & FITCH CO-CL A","EQ0019449100001000","ANF","CABKD"
"ANGO","ANGIODYNAMICS INC","ANGIODYNAMICS INC","EQ0000000001003847","ANGO","I2PH3P"
"ANH","ANWORTH MORTGAGE ASSET","ANWORTH MORTGAGE ASSET CORP","EQ0021994600001000","ANH","CNw9T"
"ANN","ANN INC","ANN INC","EQ0010010000001000","ANN","D58fT"
"ANR","ALPHA NATURAL RESOURCES","ALPHA NATURAL RESOURCES INC","EQ0000000000406334","ANR","CBjBk"
"ANSS","ANSYS INC","ANSYS INC","EQ0017183400001000","ANSS","CamJT"
"ANTH","ANTHERA PHARMACEUTICALS","ANTHERA PHARMACEUTICALS INC","EQ0000000009011888","ANTH","Ccf7Y"
"ANV","ALLIED NEVADA GOLD CORP","ALLIED NEVADA GOLD CORP","EQ0000000003515326","ANV","CZWNG"
"AOI","ALLIANCE ONE INTL INC","ALLIANCE ONE INTERNATIONAL","EQ0015695600001000","AOI","DQXah"
"AOL","AOL INC","AOL INC","EQ0000000008417856","AOL","JEKkLE"
"AON","AON CORP","AON PLC","EQ0010010300001000","AON","I2VDph"
"AONE","A123 SYSTEMS INC","A123 SYSTEMS INC","EQ0000000002220772","AONE","B_qSK"
"AOS","SMITH A O CORP","SMITH (A.O.) CORP","EQ0010688400003000","AOS","I2WxoT"
"AOSL","ALPHA & OMEGA SEMICON","ALPHA & OMEGA SEMICONDUCTOR","EQ0000000010044175","AOSL","I2OHgD"
"AP","AMPCO-PITTSBURGH CORP","AMPCO-PITTSBURGH CORP","EQ0010008800001000","AP","FoaBr"
"APA","APACHE CORP","APACHE CORP","EQ0010010400001000","APA","bqNv4"
"APAC","APAC CUSTOMER SERVICES",NA,NA,"","Cg2R5"
"APAGF","APCO OIL & GAS INTL INC","APCO OIL AND GAS INTL INC","EQ0010212600001000","APAGF","bd9JD"
"APC","ANADARKO PETROLEUM CORP","ANADARKO PETROLEUM CORP","EQ0010009600001000","APC","CAv_J"
"APD","AIR PRODS & CHEMS INC","AIR PRODUCTS & CHEMICALS INC","EQ0010001900001000","APD","CBjxb"
"APEI","AMER PUBLIC EDUCATION","AMERICAN PUBLIC EDUCATION","EQ0000000003824901","APEI","DoFdu"
"APH","AMPHENOL CORP","AMPHENOL CORP-CL A","EQ0022560500002000","APH","COrQJ"
"APKT","ACME PACKET INC","ACME PACKET INC","EQ0000000002578373","APKT","CNDay"
"APOG","APOGEE ENTERPRISES INC","APOGEE ENTERPRISES INC","EQ0010214100001000","APOG","DmhiG"
"APOL","APOLLO GROUP INC","APOLLO GROUP INC-CL A","EQ0015470500002000","APOL","B_OP1"
"ARAY","ACCURAY INC","ACCURAY INC","EQ0000000001506993","ARAY","CBy__"
"ARB","ARBITRON INC","ARBITRON INC","EQ0010030300001000","ARB","CfouH"
"ARBA","ARIBA INC","ARIBA INC","EQ0082353300001000","ARBA","CCabX"
"ARC","AMERICAN REPROGRAPHICS","AMERICAN REPROGRAPHICS CO","EQ0087684200001000","ARC","CXQCY"
"ARCC","ARES CAP CORP","ARES CAPITAL CORP","EQ0000000001080963","ARCC","I2YVZW"
"ARCL","ARCHIPELAGO LEARNING IN","ARCHIPELAGO LEARNING INC","EQ0000000008965050","","CeTxn"
"ARDNA","ARDEN GROUP INC","ARDEN GROUP INC-A","EQ0010216800002000","ARDNA","CZFpD"
"ARE","ALEXANDRIA REAL ESTATE","ALEXANDRIA REAL ESTATE EQUIT","EQ0021686700001000","ARE","Coqbf"
"AREX","APPROACH RESOURCES INC","APPROACH RESOURCES INC","EQ0000000003740712","AREX","CXiik"
"ARG","AIRGAS INC","AIRGAS INC","EQ0010002100001000","ARG","B_eRQ"
"ARGN","AMERIGON INC","AMERIGON INC","EQ0011917600002000","THRM","I2c5Da"
"ARI","APOLLO COMMERCIAL RE","APOLLO COMMERCIAL REAL ESTAT","EQ0000000008693513","ARI","CaRkv"
"ARIA","ARIAD PHARMACEUTICALS","ARIAD PHARMACEUTICALS INC","EQ0014806600001000","ARIA","Ch9vJ"
"ARII","AMERICAN RAILCAR IND","AMERICAN RAILCAR INDUSTRIES","EQ0000000001974407","ARII","CaIYB"
"ARJ","ARCH CHEMICALS INC",NA,NA,"","CEQeJ"
"ARNA","ARENA PHARMACEUTICALS","ARENA PHARMACEUTICALS INC","EQ0118004800001000","ARNA","CAf59"
"ARO","AEROPOSTALE INC","AEROPOSTALE INC","EQ0000000000132067","ARO","I2bmNo"
"AROW","ARROW FINANCIAL CORP","ARROW FINANCIAL CORP","EQ0010219000001000","AROW","3F79E"
"ARQL","ARQULE INC","ARQULE INC","EQ0019450800001000","ARQL","CrNF2"
"ARR","ARMOUR RESIDENTIAL REIT","ARMOUR RESIDENTIAL REIT INC","EQ0000000005173387","ARR","CZThs"
"ARRS","ARRIS GROUP INC","ARRIS GROUP INC","EQ0011995700001000","ARRS","CBFQe"
"ARRY","ARRAY BIOPHARMA INC","ARRAY BIOPHARMA INC","EQ0113367300001000","ARRY","CF8Ma"
"ART","ARTIO GLOBAL INVESTORS","ARTIO GLOBAL INVESTORS INC","EQ0000000005699818","ART","CaRjq"
"ARTC","ARTHROCARE CORP","ARTHROCARE CORP","EQ0017336900001000","ARTC","I3MC6y"
"ARTNA","ARTESIAN RESOURCES CORP","ARTESIAN RESOURCES CORP-CL A","EQ0013635200002000","ARTNA","CV7sO"
"ARUN","ARUBA NETWORKS INC","ARUBA NETWORKS INC","EQ0000000003084356","ARUN","CiXIe"
"ARW","ARROW ELECTRONICS INC","ARROW ELECTRONICS INC","EQ0010011500001000","ARW","CO8Ed"
"ARX","AEROFLEX HLDG CORP","AEROFLEX HOLDING CORP","EQ0000000010057208","ARX","J9t1V"
"ASBC","ASSOCIATED BANC CORP","ASSOCIATED BANC-CORP","EQ0010220700001000","ASBC","CAlgD"
"ASCA","AMERISTAR CASINOS INC","AMERISTAR CASINOS INC","EQ0012629600001000","ASCA","CGgnj"
"ASCMA","ASCENT MEDIA CORP","ASCENT MEDIA CORP-CLASS B","EQ0000000006907724","ASCMB","I3vkkp"
"ASEI","AMERICAN SCIENCE & ENGR","AMERICAN SCIENCE & ENGINEERI","EQ0010221400001000","ASEI","CZJfl"
"ASGN","ON ASSIGNMENT INC","ON ASSIGNMENT INC","EQ0010221800001000","ASGN","I2dXBe"
"ASH","ASHLAND INC","ASHLAND INC","EQ0010012200001000","ASH","B_2s5"
"ASI","AMERICAN SAFETY INS HLD","AMERICAN SAFETY INS HOLDINGS","EQ0031319200001000","ASI","CBoAi"
"ASNA","ASCENA RETAIL GROUP INC","ASCENA RETAIL GROUP INC","EQ0010331200001000","ASNA","Cd22Z"
"ASTE","ASTEC INDUSTRIES INC","ASTEC INDUSTRIES INC","EQ0010223100001000","ASTE","B_PQy"
"ASYS","AMTECH SYSTEMS INC","AMTECH SYSTEMS INC","EQ0010223600001000","ASYS","DpBc2"
"AT","ATLANTIC PWR CORP","ATLANTIC POWER CORP","EQ0000000001925833","AT","HBk29"
"ATEC","ALPHATEC HOLDINGS","ALPHATEC HOLDINGS INC","EQ0000000002290140","ATEC","CZUmP"
"ATHN","ATHENAHEALTH INC","ATHENAHEALTH INC","EQ0000000003667163","ATHN","I2U9Gx"
"ATI","ALLEGHENY TECHNOLOGIES","ALLEGHENY TECHNOLOGIES INC","EQ0018787700001000","ATI","2ZE-L"
"ATK","ALLIANT TECHSYSTEMS","ALLIANT TECHSYSTEMS INC","EQ0010004000001000","ATK","B_PPX"
"ATLO","AMES NATL CORP","AMES NATIONAL CORP","EQ0013635000001000","ATLO","CiNWN"
"ATMI","ATMI INC","ATMI INC","EQ0012629100001000","ATMI","Cdr5q"
"ATML","ATMEL CORP","ATMEL CORP","EQ0010225600001000","ATML","CCSBA"
"ATNI","ATLANTIC TELE-NETWORK","ATLANTIC TELE-NETWORK INC","EQ0010225900001000","ATNI","CI-W9"
"ATO","ATMOS ENERGY CORP","ATMOS ENERGY CORP","EQ0010013100001000","ATO","CKFTh"
"ATPG","ATP OIL & GAS CORP","ATP OIL & GAS CORPORATION","EQ0090429000001000","ATPG","CBiT0"
"ATR","APTARGROUP INC","APTARGROUP INC","EQ0011711600001000","ATR","CuYXM"
"ATRC","ATRICURE INC","ATRICURE INC","EQ0000000001720323","ATRC","I2sStu"
"ATRI","ATRION CORP","ATRION CORPORATION","EQ0010225800001000","ATRI","Lzja8"
"ATRO","ASTRONICS CORP","ASTRONICS CORP","EQ0010226600001000","ATRO","DXwf5"
"ATSG","AIR TRANSPORT SERVICES","AIR TRANSPORT SERVICES GROUP","EQ0030545000001000","ATSG","Ca59p"
"ATU","ACTUANT CORP","ACTUANT CORP-A","EQ0011557000002000","ATU","I3TTrY"
"ATVI","ACTIVISION BLIZZARD INC","ACTIVISION BLIZZARD INC","EQ0010227300001000","ATVI","CBfPF"
"ATW","ATWOOD OCEANICS INC","ATWOOD OCEANICS INC","EQ0010227400001000","ATW","CA0SI"
"ATX","CROSS A T CO","AT CROSS CO-CL A","EQ0010227500001000","ATX","FuEaB"
"AUMN","GOLDEN MINERALS CO","GOLDEN MINERALS CO","EQ0000000008090342","AUMN","CXYQP"
"AUXL","AUXILIUM PHARMACEUTICAL","AUXILIUM PHARMACEUTICALS INC","EQ0000000001082119","AUXL","CIRdZ"
"AVA","AVISTA CORP","AVISTA CORP","EQ0010162500001000","AVA","B_KH-"
"AVAV","AEROVIRONMENT INC","AEROVIRONMENT INC","EQ0000000002836146","AVAV","C3MdC"
"AVB","AVALONBAY CMNTYS INC","AVALONBAY COMMUNITIES INC","EQ0012675000001000","AVB","COpeC"
"AVD","AMERICAN VANGUARD CORP","AMERICAN VANGUARD CORP","EQ0010205400001000","AVD","CZPbW"
"AVEO","AVEO PHARMACEUTICALS IN","AVEO PHARMACEUTICALS INC","EQ0000000009481374","AVEO","C3vXS"
